error,num_edges
0.0,5959996
9.432866666666667,3811383
18.865733333333335,3697448
28.2986,2973528
37.73146666666667,2758437
47.16433333333334,1639677
56.5972,945416
66.03006666666667,489316
75.46293333333334,329301
84.89580000000001,259750
94.32866666666668,175210
103.76153333333335,133914
113.1944,88777
122.62726666666667,84568
132.06013333333334,69804
141.49300000000002,61396
150.92586666666668,56997
160.35873333333333,40690
169.79160000000002,39905
179.22446666666667,33610
188.65733333333336,37535
198.0902,32278
207.5230666666667,28359
216.95593333333335,26700
226.3888,22578
235.8216666666667,23533
245.25453333333334,20444
254.68740000000003,22275
264.1202666666667,18915
273.55313333333334,16311
282.98600000000005,16616
292.4188666666667,14164
301.85173333333336,16046
311.2846,14201
320.71746666666667,15060
330.1503333333334,12749
339.58320000000003,12884
349.0160666666667,10697
358.44893333333334,11002
367.88180000000006,12186
377.3146666666667,10407
386.74753333333337,10836
396.1804,8551
405.6132666666667,9474
415.0461333333334,8677
424.47900000000004,8320
433.9118666666667,9398
443.34473333333335,8214
452.7776,8102
462.2104666666667,7011
471.6433333333334,7631
481.07620000000003,6500
490.5090666666667,6496
499.9419333333334,7329
509.37480000000005,6412
518.8076666666667,6395
528.2405333333334,5473
537.6734,5995
547.1062666666667,5510
556.5391333333333,5619
565.9720000000001,5884
575.4048666666667,5419
584.8377333333334,5475
594.2706000000001,4444
603.7034666666667,5018
613.1363333333334,4484
622.5692,4835
632.0020666666667,4347
641.4349333333333,4394
650.8678000000001,4756
660.3006666666668,3932
669.7335333333334,4188
679.1664000000001,3885
688.5992666666667,4171
698.0321333333334,3741
707.465,3700
716.8978666666667,4081
726.3307333333333,3370
735.7636000000001,3521
745.1964666666668,3308
754.6293333333334,3448
764.0622000000001,3249
773.4950666666667,3403
782.9279333333334,3589
792.3608,3198
801.7936666666667,3094
811.2265333333334,2918
820.6594000000001,2977
830.0922666666668,2596
839.5251333333334,2747
848.9580000000001,2994
858.3908666666667,2705
867.8237333333334,3113
877.2566,2447
886.6894666666667,2772
896.1223333333334,2291
905.5552,2411
914.9880666666668,2718
924.4209333333334,2509
933.8538000000001,2649
943.2866666666667,2401
952.7195333333334,2503
962.1524000000001,2139
971.5852666666667,2233
981.0181333333334,2065
990.451,2099
999.8838666666668,2378
1009.3167333333334,2150
1018.7496000000001,2461
1028.1824666666666,2083
1037.6153333333334,2027
1047.0482000000002,1861
1056.4810666666667,1810
1065.9139333333335,1892
1075.3468,1919
1084.7796666666668,2100
1094.2125333333333,1867
1103.6454,2109
1113.0782666666667,1818
1122.5111333333334,1577
1131.9440000000002,1832
1141.3768666666667,1644
1150.8097333333335,1771
1160.2426,1600
1169.6754666666668,1715
1179.1083333333333,1718
1188.5412000000001,1678
1197.9740666666667,1837
1207.4069333333334,1570
1216.8398000000002,1687
1226.2726666666667,1487
1235.7055333333335,1632
1245.1384,1448
1254.5712666666668,1682
1264.0041333333334,1476
1273.4370000000001,1546
1282.8698666666667,1649
1292.3027333333334,1308
1301.7356000000002,1466
1311.1684666666667,1381
1320.6013333333335,1518
1330.0342,1343
1339.4670666666668,1403
1348.8999333333334,1495
1358.3328000000001,1326
1367.7656666666667,1471
1377.1985333333334,1274
1386.6314000000002,1401
1396.0642666666668,1147
1405.4971333333335,1208
1414.93,1339
1424.3628666666668,1210
1433.7957333333334,1341
1443.2286000000001,1165
1452.6614666666667,1326
1462.0943333333335,1190
1471.5272000000002,1139
1480.9600666666668,1282
1490.3929333333335,1020
1499.8258,1187
1509.2586666666668,1106
1518.6915333333334,1211
1528.1244000000002,1082
1537.5572666666667,1213
1546.9901333333335,1251
1556.4230000000002,1091
1565.8558666666668,1134
1575.2887333333335,1017
1584.7216,1143
1594.1544666666668,1004
1603.5873333333334,1087
1613.0202000000002,975
1622.4530666666667,983
1631.8859333333335,1123
1641.3188000000002,1007
1650.7516666666668,1114
1660.1845333333335,1042
1669.6174,1007
1679.0502666666669,909
1688.4831333333334,874
1697.9160000000002,993
1707.3488666666667,859
1716.7817333333335,1047
1726.2146000000002,958
1735.6474666666668,1064
1745.0803333333336,946
1754.5132,910
1763.9460666666669,1046
1773.3789333333334,868
1782.8118000000002,945
1792.2446666666667,827
1801.6775333333335,919
1811.1104,811
1820.5432666666668,896
1829.9761333333336,945
1839.409,865
1848.8418666666669,965
1858.2747333333334,866
1867.7076000000002,910
1877.1404666666667,829
1886.5733333333335,838
1896.0062,798
1905.4390666666668,775
1914.8719333333336,857
1924.3048000000001,882
1933.7376666666669,916
1943.1705333333334,771
1952.6034000000002,873
1962.0362666666667,764
1971.4691333333335,809
1980.902,793
1990.3348666666668,749
1999.7677333333336,822
2009.2006000000001,701
2018.633466666667,822
2028.0663333333334,738
2037.4992000000002,706
2046.9320666666667,754
2056.3649333333333,732
2065.7978000000003,780
2075.230666666667,737
2084.6635333333334,850
2094.0964000000004,658
2103.529266666667,646
2112.9621333333334,741
2122.395,678
2131.827866666667,708
2141.2607333333335,686
2150.6936,672
2160.126466666667,670
2169.5593333333336,662
2178.9922,749
2188.4250666666667,755
2197.8579333333337,813
2207.2908,653
2216.7236666666668,666
2226.1565333333333,578
2235.5894000000003,695
2245.022266666667,682
2254.4551333333334,651
2263.8880000000004,774
2273.320866666667,667
2282.7537333333335,732
2292.1866,619
2301.619466666667,704
2311.0523333333335,642
2320.4852,625
2329.918066666667,679
2339.3509333333336,581
2348.7838,651
2358.2166666666667,593
2367.6495333333337,590
2377.0824000000002,612
2386.515266666667,574
2395.9481333333333,657
2405.3810000000003,610
2414.813866666667,660
2424.2467333333334,627
2433.6796000000004,704
2443.112466666667,655
2452.5453333333335,585
2461.9782,642
2471.411066666667,557
2480.8439333333336,598
2490.2768,532
2499.7096666666666,651
