d,real,null
0,0.16294445185787246,0.10686973637507663
100,0.6101561267938811,0.4545126004323836
200,0.8210910678975653,0.6810945113097351
300,0.7261048366552231,0.6352360362685942
400,0.8083049264250968,0.7613694298344681
500,0.8455230308250337,0.8098802878254977
600,0.8593160506107991,0.8308218515052758
700,0.8449164776242524,0.8385144074086025
800,0.8267926679849089,0.8150366235358653
900,0.7700314194558004,0.7875383175760705
1000,0.8838086688583455,0.8541641121615953
1100,0.8807273785983769,0.8770417217901971
1200,0.8936348307110017,0.9105482236778419
1300,0.900282653791564,0.8968861927656416
1400,0.9157012361554232,0.9197573489077474
1500,0.9396115633302197,0.9423316446710335
1600,0.9089563645627358,0.9154915943338389
1700,0.935268642412626,0.9457261785679714
1800,0.9050501619497046,0.9061017714820432
1900,0.8974561158759234,0.9242941499144913
2000,0.9329637402496573,0.9279145558387919
2100,1.0,0.9963215126972347
2200,0.9580265185059381,0.969971927333742
2300,0.9597491295961569,0.9723984382562679
2400,0.961750755158735,0.9771998322093511
2500,0.9907439981560783,1.0
2600,0.9588150376669538,0.9823303539737344
2700,0.9708975774265161,0.9874415152786293
2800,0.9273955818664855,0.9498886773579426
2900,0.9211359528344231,0.9432803071859572
3000,0.9669185884293912,0.9660417540576296
3100,0.9534288452440164,0.9737730308799328
3200,0.9494377251828758,0.9750508212061566
3300,0.9465020076910946,0.9613887902939563
3400,0.9514757439375008,0.9753864025039528
3500,0.9405941795154853,0.9609757671582072
3600,0.9209175936821419,0.9438740279435965
3700,0.9252119903436731,0.9614662321319093
3800,0.901483629129111,0.9184085702300668
3900,0.8827775284170175,0.9238101384272853
4000,0.9212815256026106,0.9226549643444871
4100,0.9064331032474858,0.9330192636571908
4200,0.9078039134812514,0.9364976928785776
4300,0.889000764257033,0.9113484560033558
4400,0.8644353596253928,0.8973766577393437
4500,0.863392088120049,0.8869607305346714
4600,0.8515885628328461,0.8857603820464006
4700,0.8674923877573302,0.8924720080023233
4800,0.844346317615518,0.885799102965377
4900,0.840888964371065,0.8850375915588397
5000,0.872672352092002,0.8739569552450711
5100,0.8348840876833307,0.8689748636700978
5200,0.8576419637766428,0.8832564292859217
5300,0.817512404012956,0.8525442870510793
5400,0.8081957468489561,0.8407602207092382
5500,0.8225953198355028,0.8458326610951566
5600,0.8102701587956279,0.8408053951147108
5700,0.7701527300959568,0.8060275563873383
5800,0.7796756153482222,0.8137394727501532
5900,0.7600839469629881,0.7993223839179117
6000,0.7705773173365036,0.7797941337807751
6100,0.7724333701308942,0.8033493594914652
6200,0.7530600608979413,0.78571198089768
6300,0.7417296471073478,0.7772514601013197
6400,0.728045806897723,0.76948146236004
6500,0.7291982579792073,0.7610854764286406
6600,0.7427729186126916,0.7693652996031106
6700,0.700593209030364,0.7369107160143268
6800,0.6877706743658486,0.72613984705237
6900,0.6821661227906299,0.7200735697460553
7000,0.6957893076801767,0.7097931657578006
7100,0.6959470115123797,0.7258236262140622
7200,0.691252289738333,0.7218611855054693
7300,0.6640423131512865,0.7003000871220677
7400,0.6700957140950833,0.7009583427446678
7500,0.6533912389455679,0.6880255558065245
7600,0.648732910363568,0.6852376496402182
7700,0.6510014193344899,0.6742667225968829
7800,0.618696395860881,0.6604949824142493
7900,0.6012155326143656,0.6396824884643929
8000,0.6404959178969587,0.65535800716337
8100,0.6311186054128808,0.6539188796747443
8200,0.6107869421226936,0.6515891710496596
8300,0.6350126769618963,0.6572746926527057
8400,0.5960113061516625,0.6311122583975993
8500,0.5864156345153033,0.6134297053983414
8600,0.5874831681486783,0.6272078990674712
8700,0.5770747152232722,0.6089897066890387
8800,0.5775114335278347,0.6132554612629473
8900,0.5691046061650067,0.6032719176535123
9000,0.5697960768138973,0.59399180407215
9100,0.5688498538206787,0.5910877351489142
9200,0.56285710819696,0.5934755251524636
9300,0.5572404255577257,0.5862476202768546
9400,0.5595938519767569,0.5927527346649027
9500,0.5552751931871944,0.5819044238649931
9600,0.5255055620928512,0.5627504759446291
9700,0.5395897274149916,0.5617372785647446
9800,0.524413766331445,0.5628795456745507
9900,0.5220360777843824,0.5576328611532381
10000,0.5468441036963352,0.5658029750572747
10100,0.5294724200259605,0.556006582556226
10200,0.5172685696262419,0.5476364105708109
10300,0.5129499108366795,0.5375302507179504
10400,0.5037788264408671,0.5336710657932948
10500,0.49293365521089855,0.5222613016682263
10600,0.4902284279354142,0.5203317092058984
10700,0.47807310179175816,0.512013165112452
10800,0.4662210522484927,0.5063599109418864
10900,0.48241602270935185,0.5083153173501984
11000,0.49397692671624227,0.5045722951824724
11100,0.46256960197978964,0.49404665870736664
11200,0.47225019106425825,0.499106192120293
11300,0.4609319083376803,0.4922719499209448
11400,0.46881709994783644,0.49913845955277336
11500,0.4562371865636335,0.4827659643122197
11600,0.44789101452088365,0.47622212900519506
11700,0.4413281088884306,0.4753380013552322
11800,0.4391202552375869,0.4690264915620664
11900,0.4280567248553371,0.45436417024297376
12000,0.4496378877391336,0.4667290503694621
12100,0.41905547535574345,0.451382659481785
12200,0.43104096660318075,0.45783614597786454
12300,0.42993703977775893,0.45227324061824403
12400,0.41616828212002477,0.44630376560937046
12500,0.42229446944791527,0.4513310315898164
12600,0.4195164557883372,0.44722016069181375
12700,0.4214574260308372,0.44954341583040236
12800,0.4110125799133842,0.4415927204672324
12900,0.40252083510244685,0.4300732470717305
13000,0.4141909186854779,0.43524894324158625
13100,0.4197105528125872,0.4390113258688006
13200,0.4022539516941031,0.4234713303862412
13300,0.3954848179733845,0.42641412022845343
13400,0.4009801899724625,0.42048336613855636
13500,0.384312108014994,0.4144622632377142
13600,0.3850399718559315,0.413313542641412
13700,0.3851006271760096,0.41356522861475914
13800,0.39298581878616573,0.4237165628730922
13900,0.38853371829243144,0.41041592720467235
14000,0.37313939805660357,0.3966506405085347
14100,0.39139664940011887,0.40960278790616633
14200,0.3747285674426504,0.39868994224129584
14300,0.383729816942244,0.40804749766061116
14400,0.37215678187133794,0.404788486980091
14500,0.38756323317118146,0.4088993578780936
14600,0.36942729246782235,0.3925526765835243
14700,0.3643929009013381,0.39024878190442386
14800,0.34960513386629144,0.38484076022070923
14900,0.3597588344473694,0.3808589590526282
15000,0.3634952021641818,0.38484076022070923
15100,0.3728239903921973,0.3890484334161531
15200,0.3394756954132447,0.36443483592010584
15300,0.35705360717188506,0.3824013423251912
15400,0.35129135176446324,0.37681262301958635
15500,0.34569893125326023,0.36931367171114193
15600,0.35787851952494754,0.3737407634474525
15700,0.3348901532153385,0.36306669678293696
15800,0.3246151419941043,0.355600012906973
15900,0.3360668664248541,0.35296053693007645
16000,0.32157024492618247,0.34125391242618824
16100,0.33245180934819796,0.3509599561162918
16200,0.3279997088544636,0.35214739763157044
16300,0.32889740759161984,0.34784292213868545
16400,0.31646306697560445,0.3424607144009551
16500,0.304805114456589,0.3311542060598238
16600,0.326434801596448,0.34569391113549097
16700,0.3125204711705264,0.33646542544609725
16800,0.2927104436330111,0.3245781033203188
16900,0.31125884051290137,0.32485560323965024
17000,0.30815328812490145,0.32762414894646835
17100,0.3131998107554014,0.3304314155722629
17200,0.298727451384761,0.3197896163402278
17300,0.29803598073587034,0.31920234906908457
17400,0.30367692550313585,0.3273724629731212
17500,0.30247595016558904,0.3292375205704882
17600,0.29906712117719847,0.3181246168242393
17700,0.2920553661761673,0.3196928140427866
17800,0.28772457632258924,0.31155496757123036
17900,0.29372945301032355,0.31451066438643477
18000,0.3080805017408077,0.31993804652963764
18100,0.28951997379690175,0.3143170597915524
18200,0.28766392100251115,0.3055854925623568
18300,0.28260526730799557,0.3038236907489271
18400,0.2834544417890893,0.30003549417572845
18500,0.2719056688462145,0.2907618340808622
18600,0.2721240279984957,0.2973766577393437
18700,0.27241517353487077,0.2929108450840567
18800,0.2670532432399646,0.29429834468071375
18900,0.27789841446993313,0.2922396824884644
19000,0.2736525420644645,0.28652189345293794
19100,0.26689553940776145,0.2893485205382208
19200,0.2657916125823396,0.28167532509438226
19300,0.2702437130760739,0.28834823013132843
19400,0.26308638530685524,0.2810622438772547
19500,0.24856550168015237,0.2724984672969572
19600,0.256790363082746,0.27442805975928497
19700,0.24621207526112115,0.26665160853150915
19800,0.24089866922227748,0.26369591171630474
19900,0.2477527203911055,0.2625471911200026
20000,0.24684289058993364,0.2663095737472169
20100,0.254267101767496,0.2652189345293795
20200,0.23314691931629322,0.2522087057532832
20300,0.2380236070505744,0.2537059146203737
20400,0.23149709461016826,0.25282178697041074
20500,0.2276636783812308,0.25188603142847926
20600,0.2418448922154962,0.25544190248781906
20700,0.23901835429985563,0.25992062211609823
20800,0.2277971200854027,0.24690393985350587
20900,0.22982300777601203,0.24259301087412474
21000,0.22185289871774652,0.23916620954470652
21100,0.22795482391760583,0.23692684973056694
21200,0.2183227590891997,0.2353263850795392
21300,0.21382213433940292,0.23164144429027783
21400,0.21490179903679352,0.23131231647897776
21500,0.21311853262649666,0.22950534026007552
21600,0.20567005932090304,0.22422638830628247
21700,0.21296082879429354,0.22893743344842052
21800,0.20273434182912184,0.21928301765028557
21900,0.2043841665352468,0.2226130166822626
22000,0.21034051896691858,0.22432319060372366
22100,0.20437203547123117,0.2218192378432448
22200,0.20762316062741862,0.21786970410764414
22300,0.19840355197554377,0.21450098415669064
22400,0.2025645069329031,0.21871511083863057
22500,0.19761503281452816,0.21584976283437127
22600,0.2022248371404656,0.21364912393920815
22700,0.18848034161076269,0.2065244748475364
22800,0.1941091553140126,0.20968022974411926
22900,0.1928475246563876,0.2083120906069504
23000,0.19589242172430943,0.21052563647510567
23100,0.18652724030424708,0.2015101158400826
23200,0.18777673989785645,0.20244587138201414
23300,0.19062753994152828,0.20247168532799845
23400,0.1837977509007315,0.1987415701332645
23500,0.18382201302876275,0.20243296440902198
23600,0.1886865696990283,0.20102610435287663
23700,0.17996433467179407,0.19799941918621536
23800,0.17788992272512222,0.19168790939304958
23900,0.17442043841665353,0.1871833758187861
24000,0.18143219341768466,0.19794779129424672
24100,0.18353086749238776,0.19057790971572391
24200,0.16435165528368492,0.18189797037849698
24300,0.17233389540596605,0.18342099319157174
24400,0.1698712894107942,0.1869639572779194
24500,0.1703080077153567,0.1797489593753025
24600,0.16891293535355986,0.18294343519086187
24700,0.16361166037873182,0.18304023748830306
24800,0.17506338480948164,0.18534413216740345
24900,0.17234602646998168,0.1830918653802717
25000,0.15804350199556003,0.17328901939272692
25100,0.1667293438307474,0.17950372688845148
25200,0.16748146979971612,0.17995547094317704
25300,0.16386641272305993,0.17770965764254137
25400,0.15505926024771632,0.16654512600432383
25500,0.1620346220567006,0.17067535736181472
25600,0.1509832227384664,0.16767448614113775
25700,0.1556415513204663,0.16714530024845922
25800,0.14583965159584147,0.16502210319124908
25900,0.15192944573168513,0.15898163983091865
26000,0.1494183154804508,0.15854280274918525
26100,0.14918782526415392,0.1634409989997096
26200,0.1505465044339039,0.15970443031847956
26300,0.13908264893913846,0.15560001290697298
26400,0.14889667972777892,0.15851698880320092
26500,0.1462399767083571,0.15803943080249105
26600,0.14334065240862276,0.15505146655480623
26700,0.13340531097982605,0.1472233874350618
26800,0.13932527021945096,0.15152786292794682
26900,0.14080526002935717,0.15006937497983286
27000,0.136219717831451,0.14906263108644446
27100,0.1375905280652166,0.14510019037785163
27200,0.1360862761272791,0.15082443289987416
27300,0.1462885009644196,0.15507082701429448
27400,0.13427874758895103,0.1501210028718015
27500,0.13839117829024783,0.1477525733277403
27600,0.13351449055596668,0.14570036462198702
27700,0.13498234930185726,0.14780420121970894
27800,0.13800298424174784,0.14673937594785583
27900,0.13005713731151358,0.1401955406408312
28000,0.12769157982846677,0.13956309896421543
28100,0.13134303009716983,0.14036978477622536
28200,0.12753387599626365,0.1400083895324449
28300,0.12675748789926364,0.13626536736471878
28400,0.12314243082260745,0.13483269336258913
28500,0.12413717807188869,0.133361298441483
28600,0.1330049858673104,0.14322867929398858
28700,0.1193575388497325,0.134658449227195
28800,0.1288925551660136,0.13602658836436385
28900,0.12118932951609186,0.1303733341937982
29000,0.12163817888466998,0.1344067632538479
29100,0.12566569213785742,0.1313155432222258
29200,0.11346184173813885,0.12363589429189119
29300,0.11859328181674815,0.128895485786196
29400,0.1180837771280919,0.12914071827304702
