cbsacode,city_name,distance_binned,barrier_score,ci_low,ci_high,barrier_score_randstreet,ci_low_randstreet,ci_high_randstreet
19100,Dallas,0,1.1760252161489402,1.2186378818507637,1.1334125504471166,1.0490304481546637,1.0665762436867592,1.0314846526225678
19100,Dallas,500,1.1675654131751196,1.1999412763934476,1.1351895499567919,1.039890661987614,1.0537147209721227,1.0260666030031054
19100,Dallas,1000,1.1350731402287888,1.1476456085310935,1.122500671926484,1.0415865325043443,1.0539862448038189,1.02918682020487
19100,Dallas,1500,1.1487320837228672,1.1570151685468597,1.1404489988988746,1.0375857557940213,1.0472909255374225,1.0278805860506202
19100,Dallas,2000,1.1537031327099436,1.161260046173139,1.146146219246748,1.0400613008730655,1.0497853163761617,1.0303372853699693
19100,Dallas,2500,1.1470514722930463,1.1534907160791246,1.140612228506968,1.0213962957146718,1.038327700248478,1.0044648911808656
19100,Dallas,3000,1.1560540308320695,1.1625521455541352,1.1495559161100037,1.0301461968694121,1.049684054433221,1.0106083393056036
19100,Dallas,3500,1.151698108087666,1.1572992669190842,1.146096949256248,1.0396132787539432,1.058405205448024,1.0208213520598624
19100,Dallas,4000,1.156953502569575,1.1634994765080926,1.1504075286310576,1.0500286476391287,1.0667706992926926,1.0332865959855648
19100,Dallas,4500,1.150826943114355,1.1593792686530828,1.142274617575627,1.0416965362741317,1.0600189626327055,1.023374109915558
19100,Dallas,5000,1.131682873148225,1.1385418455047303,1.1248239007917196,1.040218011684442,1.0595152388266973,1.0209207845421866
19100,Dallas,5500,1.1049958536593831,1.1097551983190073,1.100236508999759,1.0363014650088618,1.056330778073943,1.0162721519437805
19100,Dallas,6000,1.0853377885998934,1.0895205375984993,1.0811550396012874,1.0421448991101576,1.0619467587145413,1.022343039505774
19100,Dallas,6500,1.0777279296430335,1.0810347639566467,1.0744210953294207,1.044140077194835,1.0633966326077404,1.0248835217819294
19100,Dallas,7000,1.0819764665955427,1.0882813022880509,1.0756716309030347,1.0617747714481274,1.0815625105999158,1.041987032296339
19100,Dallas,7500,1.065499420313612,1.0713363674098901,1.0596624732173336,1.060291752021048,1.0776991587507099,1.042884345291386
19100,Dallas,8000,1.059932506397778,1.0634176316903168,1.0564473811052393,1.0459519779737714,1.0612590264230986,1.0306449295244438
19100,Dallas,8500,1.031632762347559,1.0362928313480309,1.026972693347087,1.0242813768821646,1.0389917148912045,1.0095710388731247
19100,Dallas,9000,1.0199856243545593,1.026576422620339,1.0133948260887793,1.0076621514442232,1.0198950027285207,0.9954293001599259
19100,Dallas,9500,1.0024602828745435,1.0084423783811913,0.9964781873678961,1.0214292479312432,1.0346345872798977,1.0082239085825888
19100,Dallas,10000,1.0087568726258818,1.0144953079511412,1.0030184373006221,1.0299297095963857,1.0439913592764718,1.0158680599162992
12060,Atlanta,0,1.3323045351763534,1.3562812349201292,1.3083278354325776,1.074602875461606,1.1001799902064169,1.0490257607167948
12060,Atlanta,500,1.271712557594659,1.2884037915265374,1.2550213236627807,1.057235476837167,1.0750900370121586,1.0393809166621755
12060,Atlanta,1000,1.1573801779012514,1.1724205982685363,1.1423397575339662,1.032792531601951,1.046840448592813,1.0187446146110888
12060,Atlanta,1500,1.1008301278538324,1.1122369230496458,1.089423332658019,1.0092560317800143,1.0236172484114343,0.9948948151485939
12060,Atlanta,2000,1.0847822880262434,1.0971586543602294,1.0724059216922575,1.0081857185518852,1.0189297842827743,0.9974416528209962
12060,Atlanta,2500,1.0824246685538728,1.0910612555969452,1.0737880815108005,1.0076767588332824,1.0201609842475414,0.9951925334190239
12060,Atlanta,3000,1.0794662896274327,1.0889222288610916,1.0700103503937741,1.0122673166798961,1.0287767891649657,0.9957578441948263
12060,Atlanta,3500,1.0580621600294502,1.065738551552199,1.0503857685067015,1.006897941102359,1.0269505182347107,0.9868453639700074
12060,Atlanta,4000,1.0461759446725447,1.051379075275248,1.0409728140698413,1.0212904773399492,1.0441130634121008,0.9984678912677976
12060,Atlanta,4500,1.0432221817348961,1.05027210332301,1.036172260146782,1.0261123402943093,1.0503245436623447,1.0019001369262739
12060,Atlanta,5000,1.057803302877563,1.0646287554907654,1.0509778502643607,1.039927736628687,1.058877434849253,1.0209780384081208
12060,Atlanta,5500,1.0605623752709832,1.0673791111836408,1.0537456393583255,1.0500302600301556,1.0683608549014685,1.0316996651588428
12060,Atlanta,6000,1.0759504942669114,1.082015253261124,1.0698857352726987,1.0796682819579022,1.0968125437864635,1.062524020129341
12060,Atlanta,6500,1.0674539491326802,1.0737132447953934,1.061194653469967,1.0795670680692653,1.0999414828852352,1.0591926532532954
12060,Atlanta,7000,1.06017445048168,1.0663201348030662,1.0540287661602938,1.0784943156580125,1.0964677258632847,1.0605209054527402
12060,Atlanta,7500,1.0496208263487765,1.0572589406628525,1.0419827120347007,1.0569786944030142,1.0762404157160794,1.0377169730899491
12060,Atlanta,8000,1.0407873845824862,1.0505002253103357,1.031074543854637,1.0605897508516176,1.0777830916371776,1.0433964100660575
12060,Atlanta,8500,1.0353729674908787,1.043097707576354,1.0276482274054037,1.0399020887612447,1.0596925322926602,1.0201116452298291
12060,Atlanta,9000,1.0261655591040224,1.0306191837660477,1.0217119344419971,1.0285966316812358,1.0465133108985956,1.010679952463876
12060,Atlanta,9500,1.0237080250842856,1.0264308458899651,1.020985204278606,1.0259893607522899,1.0439965188258533,1.0079822026787266
12060,Atlanta,10000,1.0385833677276366,1.0423904461601952,1.034776289295078,1.033070775678302,1.0532313157513133,1.0129102356052901
33100,Miami,0,1.1068267910429195,1.155086632956202,1.0585669491296372,1.0287235052096122,1.0437895475416792,1.013657462877545
33100,Miami,500,1.1324051906079786,1.1642643783798112,1.100546002836146,1.0256560129323602,1.0388492150282627,1.012462810836458
33100,Miami,1000,1.1389449162993341,1.155090767881191,1.1227990647174773,1.0381291331188538,1.051002184694025,1.0252560815436822
33100,Miami,1500,1.1477240858999451,1.155862617144769,1.1395855546551212,1.041820305778089,1.0555016328243556,1.0281389787318225
33100,Miami,2000,1.120937837443038,1.1324216800935902,1.1094539947924857,1.0464111137945171,1.0587972423803662,1.034024985208668
33100,Miami,2500,1.0834312265287678,1.094268179270062,1.0725942737874736,1.0196843468368602,1.0347897978503184,1.0045788958234019
33100,Miami,3000,1.088252823618404,1.0981956652436602,1.0783099819931476,1.0244261324742374,1.037034495097143,1.0118177698513318
33100,Miami,3500,1.059170958342515,1.067549534823414,1.050792381861616,1.022040024360105,1.0350064548892082,1.0090735938310018
33100,Miami,4000,1.0429376795550156,1.0521194938343492,1.033755865275682,1.0430590085984237,1.052668874197217,1.0334491429996302
33100,Miami,4500,1.0476734948577455,1.052949854245968,1.042397135469523,1.0532240484003943,1.063124322418041,1.0433237743827477
33100,Miami,5000,1.0746735718978044,1.0789893501391004,1.070357793656509,1.059872927619366,1.0705957355174625,1.0491501197212694
33100,Miami,5500,1.07117444237213,1.0762318936336963,1.0661169911105635,1.0505525117137706,1.0607196180410916,1.0403854053864499
33100,Miami,6000,1.0494271972568123,1.0555586749380308,1.043295719575594,1.0377448984789368,1.0497687042360737,1.0257210927218
33100,Miami,6500,1.036047055926029,1.0402798275266858,1.0318142843253728,1.027623355396975,1.0389635109916961,1.0162831998022537
33100,Miami,7000,1.0415627744333715,1.0461753617727139,1.0369501870940296,1.0280988078391764,1.0402294073396656,1.0159682083386874
33100,Miami,7500,1.050583775531298,1.054842877637574,1.0463246734250216,1.0290565882226725,1.0384969817386787,1.0196161947066664
33100,Miami,8000,1.0461926928307208,1.0531852349132587,1.039200150748183,1.023979527831079,1.0333139575866215,1.0146450980755364
33100,Miami,8500,1.0472213310069247,1.0526871104481939,1.0417555515656556,1.0076084824609723,1.0168245444495274,0.9983924204724173
33100,Miami,9000,1.0278850037403795,1.030769954537578,1.0250000529431813,1.0129567951115386,1.0240405747748165,1.0018730154482607
33100,Miami,9500,1.0079778569300764,1.0144197784086293,1.0015359354515234,1.0035808793128533,1.0185231172635434,0.9886386413621633
33100,Miami,10000,0.9873494404920768,0.9935807512131234,0.9811181297710303,1.0014251877355647,1.0129827257463293,0.9898676497247998
14460,Boston,0,1.069696336332702,1.0957826780560695,1.0436099946093342,1.008427522684229,1.0206315729287203,0.9962234724397376
14460,Boston,500,1.077548219056449,1.0930008178802402,1.0620956202326577,1.0071505725291885,1.0174981105973364,0.9968030344610403
14460,Boston,1000,1.0948019548150785,1.1053598972322054,1.0842440123979515,1.006393713709897,1.016427424073819,0.996360003345975
14460,Boston,1500,1.0950735746911073,1.1074389064819674,1.0827082429002468,1.0139553829373842,1.0241002199766784,1.00381054589809
14460,Boston,2000,1.1001147315182724,1.1098712399027013,1.0903582231338436,1.0172879278982383,1.026937234348262,1.0076386214482147
14460,Boston,2500,1.0843445045491724,1.0933203258691446,1.0753686832292002,1.0246479253463399,1.0363316679941432,1.0129641826985365
14460,Boston,3000,1.0822191222714004,1.0909256978620676,1.0735125466807331,1.0255017641239568,1.0363722875427568,1.0146312407051568
14460,Boston,3500,1.0851955603625023,1.094446790223457,1.0759443305015477,1.0234919714413742,1.0373900169374601,1.0095939259452882
14460,Boston,4000,1.0728569459102255,1.0823342862297938,1.0633796055906575,1.0176892483931663,1.0299160300090784,1.0054624667772538
14460,Boston,4500,1.066768059002272,1.0737812779281741,1.0597548400763697,1.0027841177117502,1.0147690521677648,0.9907991832557359
14460,Boston,5000,1.037924207864307,1.0457447117121814,1.0301037040164327,0.9955834234007779,1.0029962727181796,0.9881705740833764
14460,Boston,5500,1.027879686442926,1.034159680048377,1.0215996928374746,0.9878869793236478,0.9962179075450059,0.9795560511022896
14460,Boston,6000,1.0158479885056786,1.0217793390024767,1.0099166380088804,0.9834539245656919,0.9932971410874771,0.9736107080439067
14460,Boston,6500,1.0145913509283773,1.0204104069656839,1.0087722948910707,0.984556998634758,0.9930937652384979,0.9760202320310181
14460,Boston,7000,1.0348847302713513,1.0429562489795268,1.0268132115631758,0.9805016136204288,0.9888236551000269,0.9721795721408306
14460,Boston,7500,1.0247500681920663,1.0302028113383348,1.0192973250457982,0.9824790817810205,0.9911520048905278,0.9738061586715132
14460,Boston,8000,1.0229191020069832,1.0312960432901492,1.014542160723817,0.9883842822896098,0.9988875209199548,0.9778810436592649
14460,Boston,8500,1.0053840383386885,1.0137213195266472,0.9970467571507295,0.9876629528691858,0.9953814933839329,0.9799444123544387
14460,Boston,9000,1.0308264276302466,1.038784709549442,1.0228681457110511,0.9909143138599925,1.000184201431202,0.9816444262887831
14460,Boston,9500,1.0198508680174705,1.0283288970553541,1.0113728389795869,1.0023051395749913,1.0146698159071694,0.9899404632428135
14460,Boston,10000,1.0207214445386685,1.0300372667464148,1.0114056223309222,1.0046884497381576,1.0173061268712278,0.9920707726050877
38300,Pittsburgh,0,1.2166827937630744,1.255958158232085,1.177407429294064,1.0528882280753562,1.0842169083192013,1.021559547831511
38300,Pittsburgh,500,1.221890110296896,1.255216039562582,1.18856418103121,1.0525127984081308,1.0774405958645212,1.0275850009517407
38300,Pittsburgh,1000,1.1808310297124733,1.1956443152981766,1.16601774412677,1.0460624282543245,1.0667440637462937,1.0253807927623555
38300,Pittsburgh,1500,1.1556345239643218,1.166833657011538,1.1444353909171054,1.0397376596794334,1.0534515328469942,1.0260237865118726
38300,Pittsburgh,2000,1.0840234786333767,1.094298992794816,1.0737479644719372,1.0222798238636632,1.0345765792880264,1.0099830684393
38300,Pittsburgh,2500,1.0895305190350277,1.1006764387729573,1.0783845992970982,1.020854229978296,1.0325410719310872,1.0091673880255043
38300,Pittsburgh,3000,1.0890160547680718,1.098791185910844,1.0792409236252996,1.0286783836783968,1.0401345094714072,1.0172222578853867
38300,Pittsburgh,3500,1.1261955199386118,1.1332518850974367,1.1191391547797873,1.0462498207661102,1.0591415760617209,1.0333580654704995
38300,Pittsburgh,4000,1.1062196359933592,1.1113368752879984,1.1011023966987197,1.0479550749165814,1.061744617256227,1.0341655325769357
38300,Pittsburgh,4500,1.1021964518955643,1.1108688629236902,1.0935240408674383,1.052367845700948,1.067994077099017,1.036741614302879
38300,Pittsburgh,5000,1.070052877459921,1.0805142667145464,1.0595914882052955,1.047293386163774,1.0611069308611667,1.0334798414663817
38300,Pittsburgh,5500,1.0660694714928678,1.0791594760488519,1.0529794669368837,1.043410897519221,1.0565845349133505,1.0302372601250913
38300,Pittsburgh,6000,1.0447738303378415,1.0545963002620071,1.034951360413676,1.0284554166055675,1.041099900320941,1.0158109328901936
38300,Pittsburgh,6500,1.0578580106833542,1.0685354380605805,1.0471805833061278,1.032437633644109,1.0435471236684963,1.0213281436197215
38300,Pittsburgh,7000,1.0455136826637776,1.0579686946797122,1.033058670647843,1.019864647508327,1.0355059304044958,1.0042233646121583
38300,Pittsburgh,7500,1.062049676204678,1.0735215734307058,1.0505777789786501,1.039121018616799,1.0542288084904814,1.024013228743117
38300,Pittsburgh,8000,1.0391294253385839,1.050076367598719,1.0281824830784485,1.0257305257473441,1.0396695607069457,1.011791490787743
38300,Pittsburgh,8500,1.0274311862440593,1.0367156103023716,1.0181467621857467,1.0225706313212575,1.0353050195419202,1.0098362431005947
38300,Pittsburgh,9000,1.0157658599667716,1.0279431626971576,1.0035885572363858,1.000852650899827,1.0142928994538474,0.9874124023458068
38300,Pittsburgh,9500,1.0184914090593586,1.0276096742835086,1.0093731438352087,0.9886036211783489,1.0028614472780983,0.9743457950785992
38300,Pittsburgh,10000,1.0139055562709036,1.0251094958436517,1.0027016166981555,0.9909173652382504,1.0037519621010769,0.9780827683754238
42660,Seattle,0,1.0685674957702087,1.0976114437902762,1.0395235477501417,1.0579311922974273,1.0723158876944316,1.043546496900423
42660,Seattle,500,1.1028994163606858,1.1207993815514938,1.0849994511698777,1.0552951345688828,1.071375000202345,1.0392152689354206
42660,Seattle,1000,1.1112757556594537,1.1231257078240753,1.099425803494832,1.0423292640205266,1.0579594726448405,1.0266990553962128
42660,Seattle,1500,1.117518347525857,1.1308196567620774,1.1042170382896366,1.0472772701588526,1.0642865616204387,1.0302679786972666
42660,Seattle,2000,1.0945029541128695,1.1067141146042259,1.082291793621513,1.0537371806457294,1.066741008253559,1.0407333530378993
42660,Seattle,2500,1.0855672480264986,1.098925590632125,1.0722089054208723,1.0460767495127452,1.0566532023785338,1.0355002966469566
42660,Seattle,3000,1.0844848650092787,1.0969422012839303,1.072027528734627,1.0384105523891063,1.049122772321218,1.0276983324569948
42660,Seattle,3500,1.0765311531521315,1.0849820199905746,1.0680802863136885,1.0245565845753837,1.0356612894371633,1.0134518797136036
42660,Seattle,4000,1.0650185946706796,1.076455205063737,1.053581984277622,1.0225341694765506,1.0335737380199825,1.0114946009331187
42660,Seattle,4500,1.0372898206920875,1.0471891240399644,1.0273905173442106,1.0262106052398496,1.0380891860309065,1.0143320244487928
42660,Seattle,5000,1.0469854782752526,1.0564964790554574,1.0374744774950475,1.0273753324539827,1.0370745908243686,1.0176760740835964
42660,Seattle,5500,1.0513099097712333,1.060170667067245,1.0424491524752213,1.0326783079203952,1.042849508615129,1.0225071072256613
42660,Seattle,6000,1.0916641113081083,1.0991897940742938,1.0841384285419227,1.0304803956851678,1.0419021259206238,1.0190586654497118
42660,Seattle,6500,1.0917141278838485,1.0986279758797726,1.0848002798879244,1.0274680549624329,1.0360055001597948,1.018930609765071
42660,Seattle,7000,1.0662406852267265,1.0766904930196177,1.055790877433835,1.0176336535361896,1.0252626465514267,1.010004660520952
42660,Seattle,7500,1.0553957297904681,1.0642377391116336,1.0465537204693027,1.0276604162397525,1.0352486284379654,1.0200722040415398
42660,Seattle,8000,1.0383645270727793,1.0501093523830947,1.0266197017624639,1.0300021393859748,1.0395658628164948,1.020438415955455
42660,Seattle,8500,1.020874717411513,1.0323411674756933,1.0094082673473326,1.0139702469310847,1.0280576929889271,0.9998828008732423
42660,Seattle,9000,0.9947257943377892,1.0040980076502846,0.9853535810252938,1.0064724947352899,1.0229655034953717,0.9899794859752082
42660,Seattle,9500,0.9866458032989771,0.9983583025252718,0.9749333040726824,0.9983645999751665,1.011707966297298,0.9850212336530351
42660,Seattle,10000,1.0439356684694863,1.0563944934339382,1.031476843505034,1.0229260730560985,1.037239319479648,1.008612826632549
