cbsacode,cityname,cell_width_gravity,r2,alpha,beta_num_neighbors1_log,beta_num_neighbors2_log,beta_distance_beeline_m_log
35620,NewYork,1000,0.20973714111228137,0.8610067195514545,0.07845750995342872,0.0784575099534289,-0.1162971641108808
35620,NewYork,2000,0.26886586121134626,1.987198520046751,0.12082495221142246,0.12082495221142264,-0.23206318760854927
35620,NewYork,3000,0.3176434820848356,2.9539427366928415,0.15959842946782754,0.1595984294678279,-0.32859383680633913
35620,NewYork,4000,0.3572706812430483,3.7926796164412315,0.19802288296563053,0.19802288296563103,-0.4107384832397596
35620,NewYork,5000,0.3964628517311126,4.669486130678711,0.23289472246730492,0.23289472246730483,-0.4932625884940818
35620,NewYork,6000,0.43792528928329344,5.435638121818883,0.2712256721320812,0.2712256721320814,-0.5675088468970421
35620,NewYork,7000,0.4513760886691327,6.062801931016196,0.3073692651977452,0.30736926519774527,-0.6243927014665795
35620,NewYork,8000,0.46347162618957494,6.515159811218774,0.3262628575293623,0.32626285752936274,-0.6629964668863884
35620,NewYork,9000,0.5001682651565439,7.312675901194469,0.3571779873380812,0.3571779873380816,-0.7348424011100712
35620,NewYork,10000,0.510343724214343,7.748001722131486,0.383394162307721,0.383394162307721,-0.7739777544217995
35620,NewYork,11000,0.526781691177914,8.146865849402394,0.41479065006299204,0.41479065006299287,-0.8091597546824877
35620,NewYork,12000,0.5534019541314332,8.657583836540134,0.43871585356730863,0.43871585356730974,-0.854445441976512
35620,NewYork,13000,0.5657818442352223,9.031075512553265,0.47305585693959906,0.47305585693959934,-0.8893216096776846
35620,NewYork,14000,0.5715923183446334,9.14605711749882,0.4858496883327994,0.4858496883328013,-0.895951724618364
35620,NewYork,15000,0.5730882537722786,9.722864532869558,0.48916080809214657,0.4891608080921454,-0.9402836867973217
35620,NewYork,16000,0.5687398006271694,9.671354377979105,0.497158642077668,0.4971586420776679,-0.9341829873976276
35620,NewYork,17000,0.5887533305328945,10.399659196676241,0.5080101576248268,0.5080101576248264,-0.9920836099704171
35620,NewYork,18000,0.6139037353974615,10.371014646588176,0.5604744950522895,0.5604744950522881,-0.9966202503045275
35620,NewYork,19000,0.6274657459176172,11.005746131672968,0.5627611527557806,0.5627611527557784,-1.0505282053773806
35620,NewYork,20000,0.627942206523664,10.787575366932515,0.571770948015387,0.5717709480153867,-1.0278890444753765
31080,LosAngeles,1000,0.08535022868968034,0.19653574772757196,0.03165578592300405,0.03165578592300409,-0.03542926633707427
31080,LosAngeles,2000,0.16185461108752852,0.6602828439790139,0.07052292519075108,0.07052292519075118,-0.09863453854747625
31080,LosAngeles,3000,0.21752913718782507,1.33643010251233,0.09912222653316266,0.099122226533163,-0.1750821091622583
31080,LosAngeles,4000,0.27088472178422185,2.0043150597102604,0.14262988056208156,0.14262988056208123,-0.2550031478873572
31080,LosAngeles,5000,0.32021309729460035,2.796071694859124,0.1726490878621774,0.17264908786217745,-0.3396809053571645
31080,LosAngeles,6000,0.36148142561667784,3.640810394956363,0.20336355857340793,0.20336355857340752,-0.42710340548728415
31080,LosAngeles,7000,0.3990065582465452,4.498856977247072,0.2272962440409045,0.22729624404090462,-0.5117679460486698
31080,LosAngeles,8000,0.42328288128386815,5.034568898579343,0.2708184852176201,0.2708184852176201,-0.5725438251509118
31080,LosAngeles,9000,0.4475493358682876,5.7399384755625515,0.28863677423855744,0.28863677423855727,-0.6399227693701109
31080,LosAngeles,10000,0.4535261644220716,6.388686031926378,0.30086370773933124,0.3008637077393303,-0.6978537019616073
31080,LosAngeles,11000,0.4827700924955918,6.878508866166645,0.3487775709522573,0.34877757095225714,-0.7515512675569084
31080,LosAngeles,12000,0.5057806632309414,7.426637217066073,0.380441057087782,0.3804410570877821,-0.8083729199679887
31080,LosAngeles,13000,0.5017589070001094,7.677276454423793,0.3992925405299812,0.39929254052998114,-0.8283804433490787
31080,LosAngeles,14000,0.5098075069134946,8.028415142444643,0.4164654048743247,0.4164654048743249,-0.8640297036275749
31080,LosAngeles,15000,0.5298493012053965,8.509869581457206,0.42329646550014305,0.4232964655001435,-0.9031520963344942
31080,LosAngeles,16000,0.5295389503505217,9.048166047718214,0.46009754489107224,0.460097544891072,-0.9565650158095133
