;geoid;cbsacode;short_name
176;14000US34003061200;35620.0;New York
177;14000US34003061300;35620.0;New York
178;14000US34003061400;35620.0;New York
179;14000US34013010000;35620.0;New York
180;14000US34013010100;35620.0;New York
181;14000US34013010200;35620.0;New York
182;14000US34013010300;35620.0;New York
183;14000US34013010400;35620.0;New York
184;14000US34013010500;35620.0;New York
185;14000US34013010600;35620.0;New York
186;14000US34013010700;35620.0;New York
187;14000US34013010800;35620.0;New York
188;14000US34013010900;35620.0;New York
189;14000US34013011100;35620.0;New York
190;14000US34013011200;35620.0;New York
191;14000US34013011300;35620.0;New York
192;14000US34013011400;35620.0;New York
193;14000US34013011500;35620.0;New York
194;14000US34013011600;35620.0;New York
195;14000US34013011700;35620.0;New York
196;14000US34013011800;35620.0;New York
197;14000US34013011900;35620.0;New York
198;14000US34013012000;35620.0;New York
199;14000US34013012100;35620.0;New York
200;14000US34013012200;35620.0;New York
201;14000US34013012300;35620.0;New York
202;14000US34013012400;35620.0;New York
203;14000US34013012500;35620.0;New York
204;14000US34013012600;35620.0;New York
205;14000US34013012700;35620.0;New York
206;14000US34013012800;35620.0;New York
207;14000US34013012900;35620.0;New York
208;14000US34013013000;35620.0;New York
209;14000US34013013100;35620.0;New York
210;14000US34013013200;35620.0;New York
211;14000US34013013300;35620.0;New York
212;14000US34013013400;35620.0;New York
213;14000US34013013500;35620.0;New York
214;14000US34013013600;35620.0;New York
215;14000US34013013700;35620.0;New York
216;14000US34013013800;35620.0;New York
217;14000US34013013900;35620.0;New York
218;14000US34013014000;35620.0;New York
219;14000US34013014100;35620.0;New York
220;14000US34013014200;35620.0;New York
221;14000US34013014300;35620.0;New York
222;14000US34013014400;35620.0;New York
223;14000US34013014500;35620.0;New York
224;14000US34013014600;35620.0;New York
225;14000US34013014700;35620.0;New York
226;14000US34013014800;35620.0;New York
227;14000US34013014900;35620.0;New York
228;14000US34013015000;35620.0;New York
229;14000US34013015100;35620.0;New York
230;14000US34013015200;35620.0;New York
231;14000US34013015300;35620.0;New York
232;14000US34013015400;35620.0;New York
233;14000US34013015500;35620.0;New York
234;14000US34013015600;35620.0;New York
235;14000US34013015700;35620.0;New York
236;14000US34013015800;35620.0;New York
237;14000US34013015900;35620.0;New York
238;14000US34013016000;35620.0;New York
239;14000US34013016100;35620.0;New York
240;14000US34013016200;35620.0;New York
241;14000US34013016300;35620.0;New York
242;14000US34013016400;35620.0;New York
243;14000US34013016500;35620.0;New York
244;14000US34013016600;35620.0;New York
245;14000US34013016700;35620.0;New York
246;14000US34013016800;35620.0;New York
247;14000US34013016900;35620.0;New York
248;14000US34013017000;35620.0;New York
249;14000US34013017100;35620.0;New York
250;14000US34013017200;35620.0;New York
251;14000US34013017301;35620.0;New York
252;14000US34013017302;35620.0;New York
253;14000US34013017400;35620.0;New York
254;14000US34013017500;35620.0;New York
255;14000US34013017600;35620.0;New York
256;14000US34013017700;35620.0;New York
257;14000US34013017800;35620.0;New York
258;14000US34013017900;35620.0;New York
259;14000US34013018000;35620.0;New York
260;14000US34013018100;35620.0;New York
261;14000US34013018200;35620.0;New York
262;14000US34013018300;35620.0;New York
263;14000US34013018400;35620.0;New York
264;14000US34013018600;35620.0;New York
265;14000US34013018700;35620.0;New York
266;14000US34013018800;35620.0;New York
267;14000US34013018900;35620.0;New York
268;14000US34013019000;35620.0;New York
269;14000US34013019100;35620.0;New York
270;14000US34013019200;35620.0;New York
271;14000US34013019300;35620.0;New York
272;14000US34013019400;35620.0;New York
273;14000US34013019500;35620.0;New York
274;14000US34013019600;35620.0;New York
275;14000US34013019700;35620.0;New York
276;14000US34013019800;35620.0;New York
277;14000US34013019900;35620.0;New York
278;14000US34013020000;35620.0;New York
279;14000US34013020100;35620.0;New York
280;14000US34013020200;35620.0;New York
281;14000US34013020300;35620.0;New York
282;14000US34013020400;35620.0;New York
283;14000US34013020500;35620.0;New York
284;14000US34013020600;35620.0;New York
285;14000US34013020700;35620.0;New York
286;14000US34013020800;35620.0;New York
287;14000US34013020901;35620.0;New York
288;14000US34013020902;35620.0;New York
289;14000US34013021000;35620.0;New York
290;14000US34013021100;35620.0;New York
291;14000US34013021200;35620.0;New York
292;14000US34013021300;35620.0;New York
293;14000US34013021400;35620.0;New York
294;14000US34013021601;35620.0;New York
295;14000US34013021602;35620.0;New York
296;14000US34013021701;35620.0;New York
297;14000US34013021702;35620.0;New York
298;14000US34013021801;35620.0;New York
299;14000US34013021802;35620.0;New York
300;14000US34013021803;35620.0;New York
301;14000US34013022700;35620.0;New York
302;14000US34013022800;35620.0;New York
303;14000US34013022900;35620.0;New York
304;14000US34013023000;35620.0;New York
305;14000US34013023100;35620.0;New York
306;14000US34013023200;35620.0;New York
307;14000US34013980100;35620.0;New York
308;14000US34013980200;35620.0;New York
309;14000US34013000100;35620.0;New York
310;14000US34013000200;35620.0;New York
311;14000US34013000300;35620.0;New York
312;14000US34013000400;35620.0;New York
313;14000US34013000500;35620.0;New York
314;14000US34013000600;35620.0;New York
315;14000US34013000700;35620.0;New York
316;14000US34013000800;35620.0;New York
317;14000US34013000900;35620.0;New York
318;14000US34013001000;35620.0;New York
319;14000US34013001100;35620.0;New York
320;14000US34013001300;35620.0;New York
321;14000US34013001400;35620.0;New York
322;14000US34013001500;35620.0;New York
323;14000US34013001600;35620.0;New York
324;14000US34013001700;35620.0;New York
325;14000US34013001800;35620.0;New York
326;14000US34013001900;35620.0;New York
